,fraction,success,WL,propsGain,nMinis
55,0.1,0.6532307692307693,0.75,-0.00763371063784124,6.0
56,0.08571428571428572,0.6529230769230768,0.65,-0.01402555910543124,6.0
57,0.075,0.667846153846154,0.69,0.0028276310795423143,6.0
58,0.06666666666666667,0.6733846153846152,0.67,-0.010885661398262969,6.0
59,0.06,0.6747692307692307,0.8,-0.011926899647323297,6.0
60,0.7,0.4103076923076923,0.43,-0.0006547319261936968,7.0
61,0.35,0.5490769230769231,0.59,0.003615241635687605,7.0
62,0.23333333333333334,0.5967692307692307,0.66,-0.0009559222248042287,7.0
63,0.175,0.6155384615384616,0.71,-0.001638419380094791,7.0
64,0.14,0.6416923076923077,0.62,0.010648135149047944,7.0
65,0.11666666666666667,0.6544615384615384,0.73,0.016990283617580815,7.0
66,0.1,0.6487692307692308,0.75,-0.0007688388680470171,7.0
67,0.0875,0.6606153846153846,0.7,0.0020025256035962613,7.0
68,0.07777777777777778,0.6733846153846152,0.7,0.0025799921505444967,7.0
69,0.07,0.6706153846153846,0.71,0.0033800782705926125,7.0
70,0.8,0.3392307692307692,0.4,-0.0032978636991309873,8.0
71,0.4,0.5332307692307693,0.5,-0.005677014132141611,8.0
72,0.26666666666666666,0.5773846153846154,0.66,0.00990546147044813,8.0
73,0.2,0.5889230769230769,0.65,-0.010621813656617629,8.0
74,0.16,0.6263076923076923,0.69,0.004894803239327894,8.0
75,0.13333333333333333,0.6401538461538462,0.69,0.0002252160581759366,8.0
76,0.11428571428571428,0.6470769230769231,0.64,-0.003079416531604706,8.0
77,0.1,0.6516923076923077,0.64,-0.010768060227454801,8.0
78,0.08888888888888889,0.6532307692307693,0.7,0.007535773808712731,8.0
79,0.08,0.6698461538461538,0.7,-0.0026417073465928587,8.0
80,0.9,0.25553846153846155,0.34,0.002275696864111554,9.0
81,0.45,0.5098461538461538,0.46,-0.007261052555847192,9.0
82,0.3,0.5666153846153846,0.57,0.008261818181818148,9.0
83,0.225,0.5989230769230769,0.68,0.008160043549265028,9.0
84,0.18,0.6081538461538462,0.54,0.005500018018667063,9.0
85,0.15,0.6341538461538462,0.62,-0.005096547268681251,9.0
86,0.12857142857142856,0.6426153846153846,0.69,-0.00047220389310465016,9.0
87,0.1125,0.65,0.72,0.00838834986868986,9.0
88,0.1,0.6490769230769231,0.6,-0.007272792379861115,9.0
89,0.09,0.6538461538461539,0.66,0.007490553698590308,9.0
