,x,bDataA,bCDF_A,bDataB,bCDF_B,below,on,above,totals,losses,pushes,wins,LPWtotal
41,41,0.014114494832365038,0.9665408708643793,0.001135871752357296,0.003127303000397234,0.9917523618095969,0.002267870455912311,0.005979767703141459,0.9999999999686506,0.013998083585747377,3.200984583044765e-05,8.440140034473347e-05,0.014114494831922557
42,42,0.01039727459314245,0.9769381449458875,0.0016734567464743555,0.004800759847340903,0.9957109585142487,0.0012454522860340896,0.003043589184494877,0.9999999999847777,0.010352680251073713,1.2949309410553423e-05,3.164503249991173e-05,0.010397274592984177
43,43,0.007480911272252328,0.9844190562175469,0.0024081331665800013,0.007208892922418527,0.9978630640808783,0.0006523427009569821,0.0014845932455903599,1.0000000000274256,0.00746492504424689,4.880117864960617e-06,1.1106110345646593e-05,0.007480911272457497
44,44,0.005260235780107856,0.9896792921821382,0.0033865868985128436,0.010595479701803252,0.9989793764151593,0.00032624196999300856,0.000694381657686316,1.0000000000428386,0.005254867059408855,1.7161096835300972e-06,3.652611240812165e-06,0.005260235780333198
45,45,0.0036165631590107544,0.9932958555785778,0.004656762450370434,0.01525224174254829,0.999532439091529,0.00015594560503724193,0.0003116152993939414,0.9999999999959602,0.0036148721954545847,5.639871299873311e-07,1.1269764115722348e-06,0.0036165631589961445
46,46,0.0024324367127190223,0.9957282919729381,0.006264127626815227,0.02151637075116555,0.9997944234517481,7.131971655778041e-05,0.00013425682867240774,0.9999999999969783,0.0024319366607757804,1.7348069689585982e-07,3.2657123899599246e-07,0.0024324367127116723
47,47,0.0016012052762776465,0.9973294973872269,0.008247020574357038,0.02976338987073414,0.9999131957100624,3.12366441892286e-05,5.556764427505634e-05,0.9999999999985267,0.001601066284790595,5.001627948900032e-08,8.897520520353956e-08,0.0016012052762752874
48,48,0.0010320696828054958,0.9983615670153416,0.010631391316928883,0.04039478245226424,0.9999647780940853,1.3113993674564008e-05,2.2107912574620414e-05,1.0000000000003344,0.0010320333313442306,1.3534555292020553e-08,2.2816906318380122e-08,0.001032069682805841
49,49,0.0006516526707544117,0.9990132197215287,0.013425432336842137,0.05382021350993832,0.9999862576647286,5.28204942340005e-06,8.460285942923917e-06,1.000000000000095,0.0006516437155249297,3.442061613815443e-09,5.5131679300523775e-09,0.0006516526707544736
50,50,0.000403226779290189,0.9994164465189519,0.01661469927895256,0.07043491075864546,0.9999948411272698,2.0428308336934575e-06,3.1160419384779203e-06,1.000000000000042,0.00040322469909455323,8.237240977049046e-10,1.256471554985609e-09,0.00040322677929020595
51,51,0.0002446145819845004,0.9996610610872609,0.020158419482639127,0.0905933342822231,0.999998135494665,7.592344494781857e-07,1.1052708658310095e-06,0.9999999999999803,0.00024461412589930724,1.8571981748733868e-10,2.703653708248992e-10,0.0002446145819844956
52,52,0.00014553993000738743,0.9998066010093405,0.023987628537772258,0.11458096534648256,0.9999993508407808,2.713752474557468e-07,3.7778399364363224e-07,1.000000000000022,0.00014553983552880012,3.9495934520446833e-11,5.4982655992805534e-11,0.00014553993000739063
53,53,8.49590005560458e-05,0.9998915600137354,0.028005644106187073,0.1425866042752778,0.9999997821399057,9.33554850735005e-08,1.2450461928104062e-07,1.0000000000000102,8.495898204686993e-05,7.931388708269453e-12,1.05777880187282e-11,8.495900055604666e-05
54,54,4.867642615790772e-05,0.999940236439546,0.03209119377573813,0.17467779932703414,0.9999999294822873,3.093121113370395e-08,3.9586501410227015e-08,0.9999999999999999,4.867642272535749e-05,1.5056208147243935e-12,1.926929412744825e-12,4.867642615790772e-05
55,55,2.7381613183578096e-05,0.9999676180531076,0.036104159301893014,0.21078195702920874,0.9999999779726158,9.87739128307882e-09,1.2149992456578218e-08,0.9999999999999994,2.738161258043278e-05,2.704589073761104e-13,3.326863936294165e-13,2.7381613183578082e-05
56,56,1.5127738103004126e-05,0.9999827457908885,0.03989359924182596,0.2506755641072034,0.9999999933562008,3.0420449829963e-09,3.6017542281996384e-09,1.0,1.5127738002498473e-05,4.6019259800325664e-14,5.4486394675591885e-14,1.5127738103004126e-05
57,57,8.21111506679009e-06,0.9999909569058036,0.04330742670601092,0.293982987988027,0.9999999980640323,9.041626763049009e-10,1.0318051968383202e-09,1.0,8.211115050893637e-06,7.424183774236424e-15,8.472271197751446e-15,8.211115066790092e-06
58,58,4.3800297889878095e-06,0.9999953369356906,0.046202802869076645,0.34018578486259476,0.9999999994546926,2.59510440113485e-10,2.8579694166808167e-10,1.0,4.380029786599347e-06,1.1366634582504014e-15,1.251799118107809e-15,4.3800297889878095e-06
59,59,2.296825209599128e-06,0.9999976337608405,0.04845629696189134,0.38864209291623336,0.9999999998514495,7.19699063086411e-11,7.658063072568666e-11,1.0,2.2968252092579334e-06,1.653022951421742e-16,1.758923232177587e-16,2.296825209599128e-06
60,60,1.1843486808137283e-06,0.9999988181095207,0.049972706828559,0.43861479686533833,0.9999999999608421,1.9296856801238666e-11,1.986100173212435e-11,1.0,1.1843486807673517e-06,2.2854206896398436e-17,2.3522351201080646e-17,1.1843486808137283e-06
61,61,6.006929986363386e-07,0.99999941880255,0.05069170292943849,0.4893065263424179,0.9999999999900071,5.0050115657949984e-12,4.987898982733441e-12,1.0,6.006929986303359e-07,3.006475405666954e-18,2.9961959968332935e-18,6.006929986363385e-07
62,62,2.997530930871947e-07,0.9999997185556442,0.05059166840482374,0.5398981974686403,0.99999999999753,1.256440359581493e-12,1.2135847882177586e-12,1.0,2.997530930864543e-07,3.7662188406413963e-19,3.6377579399184126e-19,2.997530930871947e-07
63,63,1.4720612993218792e-07,0.9999998657617692,0.04969037122766355,0.5895885593484305,0.9999999999994084,3.054391922751897e-13,2.8621549574836536e-13,1.0,1.4720612993210083e-07,4.4962521424444103e-20,4.213267545573945e-20,1.4720612993218794e-07
64,64,7.11620836818695e-08,0.9999999369238529,0.048042546561342055,0.6376311017559113,0.9999999999998626,7.194065536367979e-14,6.550315845288424e-14,1.0,7.116208368185972e-08,5.119446937118715e-21,4.6613412432509054e-21,7.11620836818695e-08
65,65,3.387177927915677e-08,0.9999999707956323,0.045734758676735855,0.6833658592077818,0.999999999999969,1.6424966809446347e-14,1.454392162258955e-14,1.0,3.3871779279155715e-08,5.563428504370424e-22,4.926285030537088e-22,3.387177927915676e-08
66,66,1.587803489729704e-08,0.9999999866736675,0.042878161018123404,0.7262440276481494,0.9999999999999932,3.636824232834115e-15,3.1086244689504383e-15,1.0,1.5878034897296934e-08,5.774562208427562e-23,4.9358847800586536e-23,1.587803489729704e-08
67,67,7.332035639433717e-09,0.9999999940057032,0.03959998154718992,0.765844009323515,0.9999999999999986,7.813197279157562e-16,6.661338147750939e-16,1.0,7.332035639433706e-09,5.7286640908709795e-24,4.8841168705629266e-24,7.332035639433717e-09
68,68,3.3359402988811498e-09,0.9999999973416435,0.03603459983205353,0.8018786064385691,0.9999999999999997,1.6293669681620323e-16,1.1102230246251565e-16,0.9999999999999999,3.3359402988811485e-09,5.435470930757523e-25,3.703637728592779e-25,3.3359402988811494e-09
69,69,1.4957938658074098e-09,0.9999999988374373,0.03231500289654583,0.8341936126618238,0.9999999999999999,3.2997566829693266e-17,1.1102230246251565e-16,1.0,1.4957938658074096e-09,4.935755805042525e-26,1.660664789912458e-25,1.4957938658074098e-09
70,70,6.611138411348183e-10,0.9999999994985511,0.028565361107309308,0.8627589697680229,0.9999999999999999,6.492344894153521e-18,1.1102230246251565e-16,1.0,6.611138411348182e-10,4.29217907094586e-27,7.339838083262532e-26,6.611138411348183e-10
71,71,2.880848340154226e-10,0.999999999786636,0.024895157729838423,0.8876541323567818,0.9999999999999999,1.2415279988985326e-18,1.1102230246251565e-16,1.0,2.8808483401542256e-10,3.576653874881836e-28,3.198384157692387e-26,2.880848340154226e-10
72,72,1.237913712221646e-10,0.9999999999104273,0.021395176695384908,0.9090493041083115,0.9999999999999999,2.3084488849414694e-19,1.1102230246251565e-16,1.0,1.2379137122216457e-10,2.8576605286318136e-29,1.3743603058076714e-26,1.237913712221646e-10
73,73,5.246503452079725e-11,0.9999999999628923,0.01813537266782956,0.9271846784139043,0.9999999999999999,4.1750484040189435e-20,1.1102230246251565e-16,1.0,5.246503452079724e-11,2.190440586428533e-30,5.824788931274277e-27,5.246503452079725e-11
74,74,2.1935152238744933e-11,0.9999999999848276,0.01516450336945803,0.9423491801310434,0.9999999999999999,7.34758225969733e-21,1.1102230246251565e-16,1.0,2.193515223874493e-11,1.6117033545316246e-31,2.4352911064112674e-27,2.1935152238744933e-11
75,75,9.04860793266915e-12,0.9999999999938761,0.012511239206999246,0.954860420287048,0.9999999999999999,1.2587190123987461e-21,1.1102230246251565e-16,1.0,9.048607932669149e-12,1.1389654840592773e-32,1.004597286765513e-27,9.04860793266915e-12
76,76,3.6835833085386965e-12,0.9999999999975597,0.010186384622602252,0.9650468052872354,0.9999999999999999,2.0997615488420163e-22,1.1102230246251565e-16,1.0,3.683583308538696e-12,7.734646593225812e-34,4.089599002264573e-28,3.6835833085386965e-12
77,77,1.4800694426479863e-12,0.9999999999990398,0.00818582929857556,0.9732326331166947,0.9999999999999999,3.4120817155062913e-23,1.1102230246251565e-16,1.0,1.480069442647986e-12,5.050117882938781e-35,1.643207173271917e-28,1.4800694426479863e-12
78,78,5.870698504840827e-13,0.9999999999996269,0.006493837047644012,0.9797264703834023,0.9999999999999999,5.402870848317136e-24,1.1102230246251565e-16,1.0,5.870698504840826e-13,3.17186258110635e-36,6.517784650706767e-29,5.870698504840827e-13
79,79,2.299137362627351e-13,0.9999999999998568,0.005086365276923277,0.9848128357105526,0.9999999999999999,8.33929208913639e-25,1.1102230246251565e-16,1.0,2.2991373626273507e-13,1.9173178019996177e-37,2.552555236764843e-29,2.299137362627351e-13
80,80,8.891543097245766e-14,0.9999999999999457,0.003934148800068254,0.988746985083003,0.9999999999999999,1.255085362749313e-25,1.1102230246251565e-16,1.0,8.891543097245764e-14,1.1159645593607852e-38,9.871595871009126e-30,8.891543097245766e-14
81,81,3.3962080007186364e-14,0.9999999999999797,0.003005376889683843,0.9917523618095969,0.9999999999999999,1.8424404074814588e-26,1.1102230246251565e-16,1.0,3.396208000718636e-14,6.257310852735835e-40,3.770548318814e-30,3.3962080007186364e-14
82,82,1.2813936399505962e-14,0.9999999999999925,0.002267870455912311,0.9940202322968585,0.9999999999999999,2.638900023789717e-27,1.1102230246251565e-16,1.0,1.2813936399505961e-14,3.3814697069496205e-41,1.4226327226813898e-30,1.2813936399505962e-14
83,83,4.7764649944923335e-15,0.9999999999999972,0.0016907262522786646,0.9957109585142487,0.9999999999999999,3.6888559803436618e-28,1.1102230246251565e-16,1.0,4.776464994492333e-15,1.76196914598352e-42,5.30294141320146e-31,4.7764649944923335e-15
84,84,1.7592573727372063e-15,0.999999999999999,0.0012454522860340896,0.9969564108155051,0.9999999999999999,5.0341555588214535e-29,1.1102230246251565e-16,1.0,1.7592573727372061e-15,8.856375282362633e-44,1.9531680414544076e-31,1.7592573727372063e-15
85,85,6.403427374952264e-16,0.9999999999999997,0.0009066532448696833,0.9978630640808783,0.9999999999999999,6.708903485372332e-30,1.1102230246251565e-16,1.0,6.403427374952263e-16,4.295997623414585e-45,7.109232508187029e-32,6.403427374952264e-16
86,86,2.3036476756670405e-16,0.9999999999999999,0.0006523427009569821,0.9985154067544096,0.9999999999999999,8.733480951062015e-31,1.1102230246251565e-16,1.0,2.30364767566704e-16,2.0118863093396383e-46,2.5575626901497733e-32,2.3036476756670405e-16
87,87,8.192166535401202e-17,0.9999999999999999,0.00046396961438624045,0.9989793764151593,0.9999999999999999,1.110842088542881e-31,1.1102230246251565e-16,1.0,8.192166535401201e-17,9.10020338387617e-48,9.095131909166112e-33,8.192166535401202e-17
88,88,2.8801694955855483e-17,0.9999999999999999,0.00032624196999300856,0.9993056183423137,0.9999999999999999,1.3808983987794435e-32,1.1102230246251565e-16,1.0,2.880169495585548e-17,3.977221444667481e-49,3.197630488822099e-33,2.8801694955855483e-17
89,89,1.0012210276910665e-17,0.9999999999999999,0.00022682074061409468,0.999532439091529,0.9999999999999999,1.6781410659159705e-33,1.1102230246251565e-16,1.0,1.0012210276910663e-17,1.6801901226269697e-50,1.1115786376814834e-33,1.0012210276910665e-17
90,90,3.4418292422652377e-18,0.9999999999999999,0.00015594560503724193,0.9996883847006061,0.9999999999999999,1.9941728769133838e-34,1.1102230246251565e-16,1.0,3.4418292422652373e-18,6.863602521892681e-52,3.821198071591023e-34,3.4418292422652377e-18
91,91,1.1701722152943116e-18,0.9999999999999999,0.00010603875476751993,0.9997944234517481,0.9999999999999999,2.3177820732693664e-35,1.1102230246251565e-16,1.0,1.1701722152943114e-18,2.712204183247057e-53,1.2991521361963705e-34,1.1701722152943116e-18
92,92,3.935172311916022e-19,0.9999999999999999,7.131971655778041e-05,0.9998657431713276,0.9999999999999999,2.6355017445762514e-36,1.1102230246251565e-16,1.0,3.9351723119160214e-19,1.0371153493262836e-54,4.3689189065565757e-35,3.935172311916022e-19
93,93,1.3091294521320205e-19,0.9999999999999999,4.7452540194113e-05,0.9999131957100624,0.9999999999999999,2.9325006162786458e-37,1.1102230246251565e-16,1.0,1.3091294521320203e-19,3.839022925165676e-56,1.453425659971886e-35,1.3091294521320205e-19
94,94,4.308801436972274e-20,0.9999999999999999,3.12366441892286e-05,0.9999444323557249,0.9999999999999999,3.193728587162181e-38,1.1102230246251565e-16,1.0,4.3088014369722736e-20,1.3761142325663837e-57,4.783730563864579e-36,4.308801436972274e-20
95,95,1.4032484992644194e-20,0.9999999999999999,2.0345740159153977e-05,0.9999647780940853,0.9999999999999999,3.4051936012599024e-39,1.1102230246251565e-16,1.0,1.403248499264419e-20,4.778332810672762e-59,1.5579187931540555e-36,1.4032484992644194e-20
96,96,4.522359103151014e-21,0.9999999999999999,1.3113993674564008e-05,0.9999778920874254,0.9999999999999999,3.5552185928024134e-40,1.1102230246251565e-16,1.0,4.522359103151013e-21,1.6077975166851733e-60,5.020827201941429e-37,4.522359103151014e-21
97,97,1.4424306970742292e-21,0.9999999999999999,8.36557695418746e-06,0.9999862576647286,0.9999999999999999,3.6355173539920806e-41,1.1102230246251565e-16,1.0,1.442430697074229e-21,5.2439818311442544e-62,1.6014197713179236e-37,1.4424306970742292e-21
98,98,4.553763802796697e-22,0.9999999999999999,5.28204942340005e-06,0.9999915397140571,0.9999999999999999,3.6419531146602745e-42,1.1102230246251565e-16,1.0,4.553763802796696e-22,1.6584594265022647e-63,5.055693422569503e-38,4.553763802796697e-22
99,99,1.4231047724698717e-22,0.9999999999999999,3.3014129653255548e-06,0.9999948411272698,0.9999999999999999,3.5748814491095447e-43,1.1102230246251565e-16,1.0,1.4231047724698714e-22,5.0874308512418035e-65,1.5799636848499961e-38,1.4231047724698717e-22
100,100,4.4028958190228326e-23,0.9999999999999999,2.0428308336934575e-06,0.9999968839580615,0.9999999999999999,3.4390392932175856e-44,1.1102230246251565e-16,1.0,4.402895819022832e-23,1.5141731725562944e-66,4.888196313304985e-39,4.4028958190228326e-23
101,101,1.3487099637730485e-23,0.9999999999999999,1.2515366684914757e-06,0.999998135494665,0.9999999999999999,3.243008740486001e-45,1.1102230246251565e-16,1.0,1.3487099637730482e-23,4.3738782008965545e-68,1.4973688553221992e-39,1.3487099637730485e-23
102,102,4.090909532432143e-24,0.9999999999999999,7.592344494781857e-07,0.9999988947291342,0.9999999999999999,2.9983354441555443e-46,1.1102230246251565e-16,1.0,4.090909532432142e-24,1.226591904992508e-69,4.5418219545646986e-40,4.090909532432143e-24
103,103,1.2288081753852684e-24,0.9999999999999999,4.5611162327183054e-07,0.9999993508407808,0.9999999999999999,2.7184245345950405e-47,1.1102230246251565e-16,1.0,1.2288081753852682e-24,3.340422292278279e-71,1.3642511291603525e-40,1.2288081753852684e-24
104,104,3.6555452769001225e-25,0.9999999999999999,2.713752474557468e-07,0.9999996222160064,0.9999999999999999,2.417361627615492e-48,1.1102230246251565e-16,1.0,3.655545276900122e-25,8.836774880389405e-73,4.0584705339742594e-41,3.6555452769001225e-25
105,105,1.077120397946518e-25,0.9999999999999999,1.5992388558634345e-07,0.9999997821399057,0.9999999999999999,2.108792977240087e-49,1.1102230246251565e-16,1.0,1.0771203979465178e-25,2.271423930831665e-74,1.1958438660936355e-41,1.077120397946518e-25
106,106,3.143834964470937e-26,0.9999999999999999,9.33554850735005e-08,0.9999998754953807,0.9999999999999999,1.8049841617114043e-50,1.1102230246251565e-16,1.0,3.1438349644709367e-26,5.674572317904577e-76,3.4903579631772455e-42,3.143834964470937e-26
107,107,9.090280467247428e-27,0.9999999999999999,5.3986901274692054e-08,0.9999999294822873,0.9999999999999999,1.516134234289355e-51,1.1102230246251565e-16,1.0,9.090280467247427e-27,1.378208541568566e-77,1.0092238675038421e-42,9.090280467247428e-27
108,108,2.604082806867659e-27,0.9999999999999999,3.093121113370395e-08,0.9999999604134986,0.9999999999999999,1.2499796545301055e-52,1.1102230246251565e-16,1.0,2.6040828068676587e-27,3.2550505272962236e-79,2.89111269021498e-43,2.604082806867659e-27
109,109,7.391448412266731e-28,0.9999999999999999,1.7559118225262513e-08,0.9999999779726158,0.9999999999999999,1.011682153208571e-53,1.1102230246251565e-16,1.0,7.39144841226673e-28,7.47779644505208e-81,8.206156212627581e-44,7.391448412266731e-28
110,110,2.078921486705021e-28,0.9999999999999999,9.87739128307882e-09,0.9999999878500075,0.9999999999999999,8.039601333082864e-55,1.1102230246251565e-16,1.0,2.0789214867050205e-28,1.6713699955888293e-82,2.3080665009278755e-44,2.078921486705021e-28
